clip_id,label,trial_id,baseline_id,subject_id
0_1,0,0,0_0,41
0_2,0,0,0_0,41
0_3,0,0,0_0,41
0_4,0,0,0_0,41
1_1,1,1,1_0,41
1_2,1,1,1_0,41
1_3,1,1,1_0,41
1_4,1,1,1_0,41
2_1,0,2,2_0,41
2_2,0,2,2_0,41
2_3,0,2,2_0,41
2_4,0,2,2_0,41
3_1,1,3,3_0,41
3_2,1,3,3_0,41
3_3,1,3,3_0,41
3_4,1,3,3_0,41
4_1,0,4,4_0,41
4_2,0,4,4_0,41
4_3,0,4,4_0,41
4_4,0,4,4_0,41
5_1,1,5,5_0,41
5_2,1,5,5_0,41
5_3,1,5,5_0,41
5_4,1,5,5_0,41
6_1,0,6,6_0,41
6_2,0,6,6_0,41
6_3,0,6,6_0,41
6_4,0,6,6_0,41
7_1,1,7,7_0,41
7_2,1,7,7_0,41
7_3,1,7,7_0,41
7_4,1,7,7_0,41
8_1,0,8,8_0,41
8_2,0,8,8_0,41
8_3,0,8,8_0,41
8_4,0,8,8_0,41
9_1,1,9,9_0,41
9_2,1,9,9_0,41
9_3,1,9,9_0,41
9_4,1,9,9_0,41
10_1,0,10,10_0,41
10_2,0,10,10_0,41
10_3,0,10,10_0,41
10_4,0,10,10_0,41
11_1,1,11,11_0,41
11_2,1,11,11_0,41
11_3,1,11,11_0,41
11_4,1,11,11_0,41
12_1,0,12,12_0,41
12_2,0,12,12_0,41
12_3,0,12,12_0,41
12_4,0,12,12_0,41
13_1,1,13,13_0,41
13_2,1,13,13_0,41
13_3,1,13,13_0,41
13_4,1,13,13_0,41
14_1,0,14,14_0,41
14_2,0,14,14_0,41
14_3,0,14,14_0,41
14_4,0,14,14_0,41
15_1,1,15,15_0,41
15_2,1,15,15_0,41
15_3,1,15,15_0,41
15_4,1,15,15_0,41
16_1,0,16,16_0,41
16_2,0,16,16_0,41
16_3,0,16,16_0,41
16_4,0,16,16_0,41
17_1,1,17,17_0,41
17_2,1,17,17_0,41
17_3,1,17,17_0,41
17_4,1,17,17_0,41
18_1,0,18,18_0,41
18_2,0,18,18_0,41
18_3,0,18,18_0,41
18_4,0,18,18_0,41
19_1,1,19,19_0,41
19_2,1,19,19_0,41
19_3,1,19,19_0,41
19_4,1,19,19_0,41
20_1,0,20,20_0,41
20_2,0,20,20_0,41
20_3,0,20,20_0,41
20_4,0,20,20_0,41
21_1,1,21,21_0,41
21_2,1,21,21_0,41
21_3,1,21,21_0,41
21_4,1,21,21_0,41
22_1,0,22,22_0,41
22_2,0,22,22_0,41
22_3,0,22,22_0,41
22_4,0,22,22_0,41
23_1,1,23,23_0,41
23_2,1,23,23_0,41
23_3,1,23,23_0,41
23_4,1,23,23_0,41
24_1,0,24,24_0,41
24_2,0,24,24_0,41
24_3,0,24,24_0,41
24_4,0,24,24_0,41
25_1,1,25,25_0,41
25_2,1,25,25_0,41
25_3,1,25,25_0,41
25_4,1,25,25_0,41
26_1,0,26,26_0,41
26_2,0,26,26_0,41
26_3,0,26,26_0,41
26_4,0,26,26_0,41
27_1,1,27,27_0,41
27_2,1,27,27_0,41
27_3,1,27,27_0,41
27_4,1,27,27_0,41
28_1,0,28,28_0,41
28_2,0,28,28_0,41
28_3,0,28,28_0,41
28_4,0,28,28_0,41
29_1,1,29,29_0,41
29_2,1,29,29_0,41
29_3,1,29,29_0,41
29_4,1,29,29_0,41
30_1,0,30,30_0,41
30_2,0,30,30_0,41
30_3,0,30,30_0,41
30_4,0,30,30_0,41
31_1,1,31,31_0,41
31_2,1,31,31_0,41
31_3,1,31,31_0,41
31_4,1,31,31_0,41
32_1,0,32,32_0,41
32_2,0,32,32_0,41
32_3,0,32,32_0,41
32_4,0,32,32_0,41
33_1,1,33,33_0,41
33_2,1,33,33_0,41
33_3,1,33,33_0,41
33_4,1,33,33_0,41
34_1,0,34,34_0,41
34_2,0,34,34_0,41
34_3,0,34,34_0,41
34_4,0,34,34_0,41
35_1,1,35,35_0,41
35_2,1,35,35_0,41
35_3,1,35,35_0,41
35_4,1,35,35_0,41
36_1,0,36,36_0,41
36_2,0,36,36_0,41
36_3,0,36,36_0,41
36_4,0,36,36_0,41
37_1,1,37,37_0,41
37_2,1,37,37_0,41
37_3,1,37,37_0,41
37_4,1,37,37_0,41
38_1,0,38,38_0,41
38_2,0,38,38_0,41
38_3,0,38,38_0,41
38_4,0,38,38_0,41
39_1,1,39,39_0,41
39_2,1,39,39_0,41
39_3,1,39,39_0,41
39_4,1,39,39_0,41
