clip_id,label,trial_id,baseline_id,subject_id,_record_id
0_1,0,0,0_0,41,_record_1
0_3,0,0,0_0,41,_record_1
0_4,0,0,0_0,41,_record_1
1_1,1,1,1_0,41,_record_1
1_2,1,1,1_0,41,_record_1
1_3,1,1,1_0,41,_record_1
1_4,1,1,1_0,41,_record_1
2_1,0,2,2_0,41,_record_1
2_2,0,2,2_0,41,_record_1
2_3,0,2,2_0,41,_record_1
2_4,0,2,2_0,41,_record_1
3_1,1,3,3_0,41,_record_1
3_2,1,3,3_0,41,_record_1
3_4,1,3,3_0,41,_record_1
4_1,0,4,4_0,41,_record_1
4_2,0,4,4_0,41,_record_1
4_3,0,4,4_0,41,_record_1
4_4,0,4,4_0,41,_record_1
5_3,1,5,5_0,41,_record_1
5_4,1,5,5_0,41,_record_1
6_1,0,6,6_0,41,_record_1
6_2,0,6,6_0,41,_record_1
6_3,0,6,6_0,41,_record_1
6_4,0,6,6_0,41,_record_1
7_1,1,7,7_0,41,_record_1
7_2,1,7,7_0,41,_record_1
7_3,1,7,7_0,41,_record_1
7_4,1,7,7_0,41,_record_1
8_1,0,8,8_0,41,_record_1
8_2,0,8,8_0,41,_record_1
8_3,0,8,8_0,41,_record_1
8_4,0,8,8_0,41,_record_1
9_1,1,9,9_0,41,_record_1
9_3,1,9,9_0,41,_record_1
9_4,1,9,9_0,41,_record_1
10_1,0,10,10_0,41,_record_1
10_2,0,10,10_0,41,_record_1
10_3,0,10,10_0,41,_record_1
10_4,0,10,10_0,41,_record_1
11_1,1,11,11_0,41,_record_1
11_2,1,11,11_0,41,_record_1
11_3,1,11,11_0,41,_record_1
11_4,1,11,11_0,41,_record_1
12_2,0,12,12_0,41,_record_1
12_4,0,12,12_0,41,_record_1
13_2,1,13,13_0,41,_record_1
13_4,1,13,13_0,41,_record_1
14_1,0,14,14_0,41,_record_1
14_4,0,14,14_0,41,_record_1
15_1,1,15,15_0,41,_record_1
15_2,1,15,15_0,41,_record_1
15_3,1,15,15_0,41,_record_1
16_1,0,16,16_0,41,_record_1
16_2,0,16,16_0,41,_record_1
16_3,0,16,16_0,41,_record_1
16_4,0,16,16_0,41,_record_1
17_1,1,17,17_0,41,_record_1
17_2,1,17,17_0,41,_record_1
17_3,1,17,17_0,41,_record_1
18_1,0,18,18_0,41,_record_1
18_2,0,18,18_0,41,_record_1
18_4,0,18,18_0,41,_record_1
19_1,1,19,19_0,41,_record_1
19_2,1,19,19_0,41,_record_1
19_3,1,19,19_0,41,_record_1
19_4,1,19,19_0,41,_record_1
20_1,0,20,20_0,41,_record_1
20_2,0,20,20_0,41,_record_1
20_3,0,20,20_0,41,_record_1
20_4,0,20,20_0,41,_record_1
21_1,1,21,21_0,41,_record_1
21_2,1,21,21_0,41,_record_1
21_3,1,21,21_0,41,_record_1
22_2,0,22,22_0,41,_record_1
22_3,0,22,22_0,41,_record_1
22_4,0,22,22_0,41,_record_1
23_2,1,23,23_0,41,_record_1
23_3,1,23,23_0,41,_record_1
23_4,1,23,23_0,41,_record_1
24_1,0,24,24_0,41,_record_1
24_2,0,24,24_0,41,_record_1
24_3,0,24,24_0,41,_record_1
25_1,1,25,25_0,41,_record_1
25_2,1,25,25_0,41,_record_1
26_1,0,26,26_0,41,_record_1
26_2,0,26,26_0,41,_record_1
27_1,1,27,27_0,41,_record_1
27_2,1,27,27_0,41,_record_1
27_3,1,27,27_0,41,_record_1
27_4,1,27,27_0,41,_record_1
28_1,0,28,28_0,41,_record_1
28_2,0,28,28_0,41,_record_1
28_3,0,28,28_0,41,_record_1
28_4,0,28,28_0,41,_record_1
29_2,1,29,29_0,41,_record_1
29_3,1,29,29_0,41,_record_1
29_4,1,29,29_0,41,_record_1
30_1,0,30,30_0,41,_record_1
30_3,0,30,30_0,41,_record_1
30_4,0,30,30_0,41,_record_1
31_1,1,31,31_0,41,_record_1
31_2,1,31,31_0,41,_record_1
31_3,1,31,31_0,41,_record_1
31_4,1,31,31_0,41,_record_1
32_1,0,32,32_0,41,_record_1
32_4,0,32,32_0,41,_record_1
33_1,1,33,33_0,41,_record_1
33_3,1,33,33_0,41,_record_1
33_4,1,33,33_0,41,_record_1
34_1,0,34,34_0,41,_record_1
34_2,0,34,34_0,41,_record_1
34_3,0,34,34_0,41,_record_1
34_4,0,34,34_0,41,_record_1
35_2,1,35,35_0,41,_record_1
35_3,1,35,35_0,41,_record_1
35_4,1,35,35_0,41,_record_1
36_1,0,36,36_0,41,_record_1
36_2,0,36,36_0,41,_record_1
36_3,0,36,36_0,41,_record_1
36_4,0,36,36_0,41,_record_1
37_1,1,37,37_0,41,_record_1
37_2,1,37,37_0,41,_record_1
37_4,1,37,37_0,41,_record_1
38_1,0,38,38_0,41,_record_1
38_2,0,38,38_0,41,_record_1
38_4,0,38,38_0,41,_record_1
39_1,1,39,39_0,41,_record_1
39_3,1,39,39_0,41,_record_1
